Gu,ID,Station,Address,Latitude,Longitude,Date,No_of_Racks
은평구,919,919. 서울혁신파크,서울특별시 은평구 녹번동 15-2,37.607948,126.932503,2016-09-02 11:00,10
은평구,921,921. 신도고등학교,서울특별시 은평구 진관동 242-14,37.630016,126.919029,2016-09-02 11:00,10
은평구,922,922. 연신내역 4번출구,서울특별시 은평구 대조동 227-2,37.617802,126.921967,2016-09-02 11:00,10
은평구,923,923. 국민은행 연서지점,서울특별시 은평구 불광동 355,37.620949,126.925636,2016-09-02 11:00,10
은평구,924,924. 메뚜기다리,서울특별시 은평구 진관동 161-9,37.628517,126.929581,2016-09-02 11:00,15
은평구,925,925. 불광역 2번출구,서울특별시 은평구 불광동 285-43,37.609566,126.930977,2016-09-02 11:00,8
은평구,926,926. 불광역 8번출구,서울특별시 은평구 불광동 276-6,37.611179,126.929665,2016-09-02 11:00,8
은평구,927,927. 연신내역 3번출구 인근,서울특별시 은평구 불광동 304-5,37.617855,126.922523,2016-09-02 11:00,10
은평구,928,928. 은평역사한옥박물관,서울특별시 은평구 진관동 133-29,37.641315,126.938042,2016-09-02 11:00,15
은평구,930,930. 구 서부경찰서 건너편,서울특별시 은평구 역촌동 41-7,37.601662,126.920303,2016-09-02 11:00,7
은평구,931,931. 역촌파출소,서울특별시 은평구 역촌동 45-34,37.604736,126.915337,2016-09-02 11:00,20
은평구,932,932. 예일여중,서울특별시 은평구 연서로 117,37.610004,126.916397,2016-09-02 11:00,10
은평구,933,933. LG서비스 역촌점,서울특별시 은평구 서오릉로 163,37.612484,126.914879,2016-09-02 11:00,10
은평구,934,934. 신사동 성당,서울특별시 은평구 신사동 41-3,37.597141,126.909599,2017-11-01 16:00,15
은평구,935,935. 역촌역 1번 출구,서울특별시 은평구 역촌동 17-55,37.605202,126.922112,2017-11-01 16:00,7
은평구,937,937. 상림마을 롯데캐슬2단지 옆,서울특별시 은평구 진관동 30-23,37.645851,126.923798,2017-11-01 16:00,15
은평구,938,938. 금암 문화공원,서울특별시 진관동 44-28 ,37.644684,126.918457,2017-11-01 16:00,15
은평구,939,939. 은평구청 교차로,서울특별시 응암동 82-31,37.6017,126.927422,2017-11-01 16:00,15
은평구,941,941. 은평뉴타운 도서관,서울특별시 진관동 141-27,37.637222,126.933304,2017-11-01 16:00,13
은평구,942,942. 상림마을 생태공원,서울특별시 진관동 16-4,37.644081,126.929283,2017-11-01 16:00,9
은평구,943,943. 은평구청 보건소,서울특별시 녹번동 84,37.602402,126.92865,2017-11-01 16:00,10
은평구,945,945. 기자촌 사거리,서울특별시 은평구 진관동 149-17,37.63414,126.932343,2017-11-01 16:00,10
은평구,946,독바위역,서울특별시 은평구 불광로 129,37.618439,126.932884,2018. 5. 30 개통,10
은평구,947,947. 연신내 선일하이츠빌 정류소,서울특별시 불광동 484-165,37.622669,126.919991,2017-11-01 16:00,10
은평구,948,948. 디지털미디어 시티역 4번출구,서울특별시 증산동 239,37.577202,126.902351,2017-11-01 16:00,10
은평구,949,949. 연신내역 1번 출구 ,서울특별시 불광동 487-2,37.619781,126.920807,2017-11-01 16:00,7
은평구,950,950. 구산역 2번 출구 ,서울특별시 역촌동 1-57,37.610779,126.917351,2017-11-01 16:00,5
은평구,951,951. 연신내역 6번출구옆,서울특별시 갈현동 389-15 ,37.619305,126.920593,2017-11-01 16:00,15
은평구,952,952. 서울연신중학교,서울특별시 불광동 400-4번지,37.62265,126.925247,2017-11-01 16:00,10
은평구,953,953. 서울연신초등학교,서울특별시 불광동 73-1번지 ,37.625778,126.928818,2017-11-01 16:00,10
은평구,954,954. 은평뉴타운구파발9단지,서울특별시 은평구 진관3로 77,37.642609,126.921478,2017-11-28 12:00,10
은평구,956,956. 응암시장교차로,서울특별시 은평구 응암로 248,37.594376,126.918159,2017-11-28 12:01,9
은평구,958,신한은행 응암동 지점 앞,응암동 98-69,37.600361,126.922813,2018.10.16,13
은평구,959,구파발10단지 인근,진관동 72-23,37.643661,126.914558,2018.10.18,10
은평구,960,구파발역 환승센터,진관동 67-26,37.638252,126.919456,2018.10.18,15
은평구,961,불광역 9번 출구,불광동 281-109,37.61097,126.92981,2018.10.18,8
은평구,962,은평뉴타운 힐데스하임,진관동 70-4,37.639259,126.918907,2018.10.18,10
은평구,963,대호프라자아파트,은평구 불광동 242-61 ,37.614429,126.932579,2018.10.16,13
은평구,964,북한산힐스테이트 7차아파트,은평구 불광동 643-4,37.616112,126.925041,2018.10.16,10
은평구,965,서울특별시 은평병원,은평구 응암동 232-3,37.593479,126.923187,2018.10.16,10
은평구,966,서울혁신파크1, 은평구 녹번동 5,37.609032,126.934677,2018.08.28,10
은평구,967,서울혁신파크2,은평구 녹번동 5,37.60891,126.932419,2018.08.29,13
은평구,968,은평뉴타운 상림마을 13단지,은평구 진관4로 48-50,37.64209,126.929413,2018.10.18,7
은평구,969,은평 지웰테라스,은평구 진관4로 78-38,37.64386,126.931877,2018.12.14,9
은평구,971,역촌 센트레빌 아파트,은평구 역촌동 221,37.602329,126.906548,2018.12.14,10
서초구,2201,2201. 본마을 정류소 앞,서울특별시 서초구 본마을2길 2,37.453281,127.051483,2017-06-01 9:57,20
서초구,2202,2202.청계산입구역 1번출구,서울특별시 서초구 청계산로 지하 179,37.448936,127.054375,2017-06-01 10:03,20
서초구,2203,2203. 청계산입구역 2번출구,서울특별시 서초구 청계산로 지하 179,37.447659,127.055016,2017-06-27 15:24,20
서초구,2205,2205. 내곡3단지 어린이공원 앞,서울특별시 서초구 청계산로9길 76,37.453751,127.05938,2017-06-01 10:05,15
서초구,2206,2206. 언남초등학교 앞,서울특별시 서초구 헌릉로8길 42,37.454357,127.062103,2017-06-01 10:05,20
서초구,2207,2207. 내곡파출소 뒤 정자,서울특별시 서초구 헌릉로 226,37.454407,127.064926,2017-06-27 15:25,9
서초구,2210,2210. 반포1동 주민센터 앞,서울특별시 서초구 사평대로 지하 285,37.505096,127.013107,2017-06-01 10:06,15
서초구,2211,2211. 서초구립반포도서관 앞,서울특별시 서초구 고무래로 34,37.502636,127.012314,2017-06-27 15:27,10
서초구,2212,2212.서초현대4차아파트 201동 맞은편,서울특별시 서초구 고무래로 94,37.500961,127.017929,2017-06-01 10:16,20
서초구,2213,2213. 고속터미널역 5번출구 앞,서울특별시 서초구 신반포로 지하 188,37.502232,127.002258,2017-06-01 10:17,20
서초구,2214,2214. 신반포역 2번출구 앞,서울특별시 서초구 신반포로 지하 105,37.504116,126.99749,2017-06-01 10:19,15
서초구,2215,2215. 반포종합운동장 입구,서울특별시 서초구 신반포로16길 30,37.501713,126.995476,2017-06-27 15:27,10
서초구,2217,아크로리버뷰 부지 앞,서초구 잠원동 78,37.513046,127.005959,2017-06-01 10:20,20
서초구,2219,2219. 고속터미널역 8-1번 - 8-2번 출구 사이,서울특별시 서초구 신반포로 지하 188,37.506199,127.003944,2017-06-01 10:20,20
서초구,2220,2220. 반포본동 주민센터 앞,서울특별시 서초구 신반포로 10,37.500614,126.98616,2017-06-01 10:21,10
서초구,2221,2221.하나은행 방배동지점 앞,서울특별시 서초구 방배로 110,37.485611,126.994682,2017-06-01 10:22,15
서초구,2222,2222.사당역 12번출구 뒤,서울특별시 동작구 동작대로 지하 3,37.478069,126.982033,2017-06-01 10:23,10
서초구,2223,2223. 방배래미안 정문 앞,서울특별시 서초구 남부순환로 2183,37.47261,126.983009,2017-06-01 10:23,20
서초구,2225,2225.백석예술대학교 제3캠퍼스 앞,서울특별시 서초구 방배로9길 23,37.473759,126.995247,2017-06-01 10:24,15
서초구,2226,2226. 신동아럭스빌아파트 앞,서울특별시 서초구 방배로1길 9,37.475182,127.001389,2017-06-01 10:26,15
서초구,2227,2227.방배열린문화센터 앞,서울특별시 서초구 서초대로 지하 103,37.489052,126.992523,2017-06-01 10:26,15
서초구,2228,2228.뒷벌공원 옆,서울특별시 서초구 방배중앙로 131,37.489586,126.986725,2017-06-01 10:28,20
서초구,2229,2229.로고스교회 맞은 편,서울특별시 서초구 방배천로 126,37.487011,126.984962,2017-06-01 10:29,10
서초구,2230,2230.이수역 4번 출구,서울특별시 동작구 사당로 지하 310,37.485828,126.982628,2017-06-01 10:30,20
서초구,2231,2231. 삼성타운(삼성생명) A동 맞은편,서울특별시 서초구 서초대로 405,37.496914,127.024963,2017-06-01 10:32,15
서초구,2233,2233. 서초신동아1차아파트 옆,서울특별시 서초구 효령로36길 22,37.491112,127.022957,2017-06-01 10:34,20
서초구,2235,2235.KT 서초지사 앞,서울특별시 서초구 사평대로 73,37.482159,127.002701,2017-06-01 10:35,15
서초구,2237,2237.서울남부터미널 대합실 입구,서울특별시 서초구 서초중앙로 지하 31,37.484558,127.01487,2017-06-01 10:36,20
서초구,2239,2239.교대역 6번출구,서울특별시 서초구 서초대로 지하 294,37.494217,127.013786,2017-06-01 10:39,10
서초구,2241,2241.양재전화국 사거리,서울특별시 강남구 논현로 201,37.485378,127.041702,2017-06-01 10:40,10
서초구,2242,2242.양재역 11번 출구 앞,서울특별시 서초구 남부순환로 지하 2585,37.48399,127.03418,2017-06-01 10:41,20
서초구,2243,2243.서울가정법원,서울특별시 서초구 강남대로 193,37.481491,127.036728,2017-06-01 10:42,15
