Date_out,Time_out,Count,date,time,cum_precipitation,humidity,insolation,pressure,sea_lvl_pressure,sunshine,temp,wind,wind_direction,Rain_YN,N,Y,over_500
2019-10-04,3,152,2019-10-04,3,0.0,82.80833333333334,0.0,1001.2816666666666,1011.1816666666668,0,18.87,1.5666666666666669,305.2633333333333,N,1,0,0
2019-10-04,4,106,2019-10-04,4,0.0,81.60666666666665,0.0,1001.525,1011.425,0,18.65666666666667,1.85,180.2483333333333,N,1,0,0
2019-10-04,5,145,2019-10-04,5,0.0,83.30166666666668,0.0,1001.715,1011.6783333333332,0,18.40833333333333,1.7416666666666667,281.6066666666667,N,1,0,0
2019-10-04,6,285,2019-10-04,6,0.0,83.90666666666667,0.0036666666666666,1001.875,1011.875,3,18.14,2.2116666666666664,298.05,N,1,0,0
2019-10-04,7,549,2019-10-04,7,0.0,79.99666666666667,0.2403333333333333,1002.2466666666668,1012.2383333333332,1950,18.366666666666667,2.295,275.505,N,1,0,1
2019-10-04,8,700,2019-10-04,8,0.0,70.20666666666666,1.1118333333333332,1002.8483333333334,1012.77,5550,19.74,1.4366666666666668,143.92833333333334,N,1,0,1
2019-10-04,9,579,2019-10-04,9,0.0,64.43,2.518333333333333,1003.2683333333332,1013.1483333333332,9126,21.81,1.5566666666666669,193.38166666666663,N,1,0,1
2019-10-04,10,498,2019-10-04,10,0.0,59.295,4.257666666666667,1003.6116666666668,1013.37,12690,23.715,1.3116666666666668,185.99,N,1,0,0
2019-10-04,11,572,2019-10-04,11,0.0,58.498333333333335,6.545,1003.3833333333332,1013.1733333333334,16290,25.351666666666667,1.935,154.57166666666666,N,1,0,1
2019-10-04,12,584,2019-10-04,12,0.0766666666666666,73.82666666666667,0.169,1001.0,1010.9,353,20.336666666666662,1.2866666666666666,251.3083333333333,Y,0,1,1
2019-10-04,13,630,2019-10-04,13,0.0,55.395,11.022166666666667,1002.2016666666666,1011.9016666666666,23490,27.101666666666667,2.8233333333333333,177.01833333333337,N,1,0,1
2019-10-04,14,572,2019-10-04,14,0.0,56.43833333333334,13.021166666666666,1001.8666666666668,1011.56,27090,27.436666666666667,2.841666666666667,163.7516666666667,N,1,0,1
2019-10-04,15,657,2019-10-04,15,0.0,53.375,14.758666666666668,1001.8716666666666,1011.57,30690,27.45833333333333,3.265,175.84166666666667,N,1,0,1
2019-10-04,16,731,2019-10-04,16,0.0,55.45,15.760833333333332,1001.7716666666666,1011.4716666666668,33611,26.43166666666667,3.2916666666666665,173.73333333333332,N,1,0,1
2019-10-04,17,878,2019-10-04,17,0.0,60.63666666666666,16.160833333333333,1001.8883333333332,1011.6483333333332,35235,25.45,2.6300000000000003,163.84,N,1,0,1
2019-10-04,18,1102,2019-10-04,18,0.0,64.92666666666666,16.23,1002.1516666666666,1011.87,35280,24.466666666666665,2.3400000000000003,179.59666666666666,N,1,0,1
2019-10-04,19,871,2019-10-04,19,0.0,68.02833333333334,16.23,1002.675,1012.4583333333334,35280,23.46833333333333,2.7816666666666667,191.10333333333327,N,1,0,1
2019-10-04,20,825,2019-10-04,20,0.0,77.33500000000001,16.23,1003.0016666666668,1012.8216666666668,35280,22.371666666666663,2.185,192.945,N,1,0,1
